Code,The region of Russian Federation
01,Republic of Adygea
"02, 102, 702",Republic of Bashkortostan
03,Republic of Buryatia
04,Altai Republic
05,Republic of Dagestan
06,Republic of Ingushetia
07,Kabardino-Balkar Republic
08,Republic of Kalmykia
09,Karachay-Cherkess Republic
10,Republic of Karelia
11,Komi Republic
12,Mari El Republic
"13, 113",Republic of Mordovia
14,Sakha Republic
15,Republic of North Ossetia–Alania
"16, 116, 716",Republic of Tatarstan
17,Tuva Republic
18,Udmurt Republic
19,Republic of Khakassia
"(20), 95",Chechen Republic
"21, 121",Chuvash Republic
"22, 122",Altai Krai
"23, 93, 123, 193",Krasnodar Krai
"24, 84*, 88*, 124",Krasnoyarsk Krai
"25, 125",Primorsky Krai
"26, 126",Stavropol Krai
27,Khabarovsk Krai
28,Amur Oblast
29,Arkhangelsk Oblast
30,Astrakhan Oblast
31,Belgorod Oblast
32,Bryansk Oblast
33,Vladimir Oblast
"34, 134",Volgograd Oblast
35,Vologda Oblast
"36, 136",Voronezh Oblast
37,Ivanovo Oblast
"38, 85*, 138",Irkutsk Oblast
"39, 91",Kaliningrad Oblast
40,Kaluga Oblast
"41, 82*",Kamchatka Krai
"42, 142",Kemerovo Oblast
43,Kirov Oblast
44,Kostroma Oblast
45,Kurgan Oblast
46,Kursk Oblast
"47, 147",Leningrad Oblast
48,Lipetsk Oblast
49,Magadan Oblast
"50, 90, 150, 190, 750, 790",Moscow Oblast
51,Murmansk Oblast
"52, 152, 252",Nizhny Novgorod Oblast
53,Novgorod Oblast
"54, 154",Novosibirsk Oblast
"55, 155",Omsk Oblast
"56, 156",Orenburg Oblast
57,Oryol Oblast
58,Penza Oblast
"59, 81*, 159",Perm Krai
60,Pskov Oblast
"61, 161, 761",Rostov Oblast
62,Ryazan Oblast
"63, 163, 763",Samara Oblast
"64, 164",Saratov Oblast
65,Sakhalin Oblast
"66, 96, 196",Sverdlovsk Oblast
67,Smolensk Oblast
68,Tambov Oblast
69,Tver Oblast
70,Tomsk Oblast
71,Tula Oblast
72,Tyumen Oblast
"73, 173",Ulyanovsk Oblast
"74, 174, 774",Chelyabinsk Oblast
"75, 80*",Zabaykalsky Krai
76,Yaroslavl Oblast
"77, 97, 99, 177, 197, 199, 777, 797, 799, 977, 277, 297, 299",Moscow
"78, 98, 178, 198",St. Petersburg
79,Jewish Autonomous Oblast
"80, 180*",Donetsk People's Republic (occupied Ukraine)
"81, 181*",Luhansk People's Republic (occupied Ukraine)
82,Republic of Crimea (occupied Ukraine)
83,Nenets Autonomous Okrug
"84, 184*",Kherson Oblast (occupied Ukraine)
"85, 185*",Zaporizhzhia Oblast (occupied Ukraine)
"86, 186",Khanty-Mansi Autonomous Okrug
87,Chukotka Autonomous Okrug
88*,Evenk Autonomous Okrug (1993-2006)
89,Yamalo-Nenets Autonomous Okrug
92,Sevastopol (occupied Ukraine)
94,"Territories outside of the Russian Federation, served by the bodies of internal affairs of the Russian Federation, such as Baikonur"
Internationally disputed areas in italics,Internationally disputed areas in italics
